player_name,club,position,dominant_foot,nationality_region,age,height_cm,overall_rating,potential_rating,minutes_last_season,goals_last_season,assists_last_season,xg_per90,xa_per90,progressive_actions_per90,pressures_per90,fitness_score,injury_days_last_12m,matches_missed_last_12m,contract_years_left,wage_eur_week,international_caps,champions_league_minutes,club_reputation,league_strength,form_index,sell_on_potential,release_clause_ratio,market_value_eur,data_source,valuation_source,source_rank,source_url
Lamine Yamal,FC Barcelona,W,Left,EU,18,177,94.0,99.0,3499,12,11,0.29,0.34,9.09,23.73,88.7,0,0,3.9,467300,73,945,98.2,95,96.0,100.0,2.14,200000000,real_transfermarkt_top50,Transfermarkt current market value snapshot,1,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop
Erling Haaland,Manchester City,ST,Right,EU,25,182,93.5,95.5,3470,25,8,0.64,0.16,8.17,19.78,92.4,28,4,2.2,430200,85,1100,100.0,94,93.6,74.5,2.45,200000000,real_transfermarkt_top50,Transfermarkt current market value snapshot,2,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop
Kylian Mbappe,Real Madrid,ST,Right,EU,27,184,94.0,94.8,3348,24,8,0.57,0.15,8.06,19.33,90.7,20,3,1.8,387800,74,920,99.4,93,88.8,62.7,2.23,180000000,real_transfermarkt_top50,Transfermarkt current market value snapshot,3,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop
Pedri,FC Barcelona,CM,Right,EU,23,180,92.6,94.2,3352,2,8,0.1,0.15,9.26,22.34,91.5,21,3,3.6,317200,65,903,97.9,95,91.4,74.0,1.7,150000000,real_transfermarkt_top50,Transfermarkt current market value snapshot,4,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop
Michael Olise,Bayern Munich,W,Left,EU,24,176,92.7,94.3,3791,16,13,0.32,0.36,8.82,19.37,89.0,2,0,3.2,366400,69,1156,96.1,98,88.9,74.8,2.24,150000000,real_transfermarkt_top50,Transfermarkt current market value snapshot,5,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop
Vitinha,Paris Saint-Germain,DM,Right,EU,26,180,90.7,91.3,3386,1,3,0.07,0.11,6.38,24.58,91.7,2,0,1.9,310700,88,1014,96.6,97,94.6,67.0,2.14,140000000,real_transfermarkt_top50,Transfermarkt current market value snapshot,8,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop
Khvicha Kvaratskhelia,Paris Saint-Germain,W,Right,EU,25,182,92.2,95.1,3104,11,12,0.34,0.39,8.6,20.31,86.6,5,1,2.0,347900,67,712,98.8,94,90.1,69.7,1.95,140000000,real_transfermarkt_top50,Transfermarkt current market value snapshot,7,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop
Vinicius Junior,Real Madrid,W,Right,South America,25,168,93.3,93.8,3506,14,15,0.37,0.38,8.76,22.97,92.0,13,2,1.1,273700,63,855,100.0,98,89.5,75.2,2.06,140000000,real_transfermarkt_top50,Transfermarkt current market value snapshot,9,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop
Joao Neves,Paris Saint-Germain,CM,Right,EU,21,176,91.9,96.7,3315,5,7,0.12,0.16,8.36,19.41,85.8,5,1,2.9,274600,80,901,99.8,98,90.8,95.2,1.91,140000000,real_transfermarkt_top50,Transfermarkt current market value snapshot,6,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop
Jude Bellingham,Real Madrid,AM,Right,UK/Ireland,22,171,93.5,99.0,3333,8,12,0.31,0.27,8.29,22.14,86.2,2,0,2.6,325200,50,1106,98.4,98,88.4,83.9,2.21,130000000,real_transfermarkt_top50,Transfermarkt current market value snapshot,10,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop
Declan Rice,Arsenal FC,CM,Right,UK/Ireland,27,178,92.0,92.2,3320,2,7,0.08,0.2,8.71,22.27,90.2,1,0,2.3,242700,83,542,99.8,96,92.1,63.0,2.15,120000000,real_transfermarkt_top50,Transfermarkt current market value snapshot,12,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop
Desire Doue,Paris Saint-Germain,W,Right,EU,21,177,94.0,99.0,3335,11,12,0.31,0.35,8.24,17.54,94.6,7,1,2.8,275400,57,885,97.2,95,95.2,98.9,2.08,120000000,real_transfermarkt_top50,Transfermarkt current market value snapshot,11,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop
Bukayo Saka,Arsenal FC,W,Left,UK/Ireland,24,180,91.4,94.4,3468,16,14,0.32,0.31,8.39,18.75,93.6,10,1,2.2,248500,56,889,95.3,93,90.4,72.1,2.26,110000000,real_transfermarkt_top50,Transfermarkt current market value snapshot,13,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop
Jamal Musiala,Bayern Munich,AM,Right,EU,23,170,91.2,94.6,3073,9,10,0.26,0.34,8.74,20.13,85.4,1,0,1.0,197600,61,929,98.9,93,94.6,69.6,2.35,100000000,real_transfermarkt_top50,Transfermarkt current market value snapshot,17,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop
Florian Wirtz,Liverpool FC,AM,Right,EU,23,173,89.4,93.3,2993,7,12,0.22,0.29,9.25,19.09,87.1,30,4,1.8,224200,70,875,98.3,95,90.6,77.7,1.97,100000000,real_transfermarkt_top50,Transfermarkt current market value snapshot,16,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop
Moises Caicedo,Chelsea FC,DM,Right,South America,24,180,91.7,94.1,3347,1,5,0.07,0.07,7.65,20.7,87.0,13,2,1.9,202700,63,788,96.1,98,94.5,61.4,2.37,100000000,real_transfermarkt_top50,Transfermarkt current market value snapshot,14,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop
Cole Palmer,Chelsea FC,AM,Left,UK/Ireland,24,180,91.3,91.3,3188,9,12,0.27,0.3,7.95,23.54,88.0,9,1,1.7,230200,70,851,97.3,96,93.1,61.2,2.13,100000000,real_transfermarkt_top50,Transfermarkt current market value snapshot,19,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop
Fermin Lopez,FC Barcelona,AM,Right,EU,23,171,90.3,91.2,3054,7,11,0.23,0.3,8.52,22.5,86.0,16,2,2.1,221700,72,474,97.8,96,93.9,74.6,2.42,100000000,real_transfermarkt_top50,Transfermarkt current market value snapshot,15,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop
William Saliba,Arsenal FC,CB,Right,EU,25,195,90.1,91.1,2994,4,0,0.06,0.04,7.41,18.56,93.5,9,1,1.7,251200,63,716,97.3,96,91.4,69.6,2.19,100000000,real_transfermarkt_top50,Transfermarkt current market value snapshot,20,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop
Julian Alvarez,Atletico de Madrid,ST,Right,South America,26,186,89.0,91.3,3391,21,4,0.55,0.14,7.8,18.92,86.1,9,1,2.6,258400,69,779,97.7,96,88.3,63.8,2.11,100000000,real_transfermarkt_top50,Transfermarkt current market value snapshot,18,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop
Ousmane Dembele,Paris Saint-Germain,ST,Right,EU,29,188,91.3,92.7,3276,23,5,0.63,0.12,6.57,18.27,88.8,7,1,2.4,251700,78,791,97.8,92,94.6,64.8,2.06,100000000,real_transfermarkt_top50,Transfermarkt current market value snapshot,22,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop
Dominik Szoboszlai,Liverpool FC,AM,Right,EU,25,177,91.6,92.2,3095,8,10,0.25,0.3,9.01,20.88,89.7,20,3,2.1,242600,74,1091,98.1,94,84.3,70.4,1.88,100000000,real_transfermarkt_top50,Transfermarkt current market value snapshot,21,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop
Morgan Rogers,Aston Villa,AM,Right,UK/Ireland,23,172,90.8,93.3,3095,8,10,0.28,0.24,8.5,21.22,88.5,16,2,1.8,197000,67,1207,98.1,96,84.1,72.6,2.2,90000000,real_transfermarkt_top50,Transfermarkt current market value snapshot,28,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop
Federico Valverde,Real Madrid,CM,Right,South America,27,180,90.9,93.1,3150,1,7,0.13,0.22,8.47,19.24,91.1,12,2,3.1,202900,52,966,96.6,95,91.8,71.4,1.81,90000000,real_transfermarkt_top50,Transfermarkt current market value snapshot,29,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop
Enzo Fernandez,Chelsea FC,CM,Right,South America,25,177,91.7,92.2,3360,4,5,0.1,0.16,8.58,19.85,88.5,14,2,1.6,226500,70,1039,96.3,90,94.0,63.3,2.28,90000000,real_transfermarkt_top50,Transfermarkt current market value snapshot,26,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop
Rayan Cherki,Manchester City,AM,Right,EU,22,174,91.9,94.8,3618,8,15,0.18,0.25,8.0,18.68,85.6,6,1,1.0,186800,68,751,98.6,92,92.9,79.0,2.05,90000000,real_transfermarkt_top50,Transfermarkt current market value snapshot,27,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop
Aleksandar Pavlovic,Bayern Munich,DM,Right,EU,22,176,90.0,92.4,3069,1,4,0.1,0.08,6.65,19.72,90.1,22,3,2.7,245200,66,894,98.5,95,91.6,85.3,1.88,90000000,real_transfermarkt_top50,Transfermarkt current market value snapshot,25,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop
Yan Diomande,RB Leipzig,W,Right,Africa,19,175,90.4,97.0,3252,13,10,0.32,0.31,7.94,18.35,92.8,14,2,3.0,215200,53,934,93.4,94,94.0,100.0,2.43,90000000,real_transfermarkt_top50,Transfermarkt current market value snapshot,23,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop
Arda Guler,Real Madrid,AM,Left,EU,21,180,90.4,96.9,3481,9,13,0.23,0.33,8.67,22.56,87.3,1,0,2.9,221900,55,982,98.9,97,89.5,96.1,2.03,90000000,real_transfermarkt_top50,Transfermarkt current market value snapshot,24,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop
Lautaro Martinez,Inter Milan,ST,Right,South America,28,182,90.1,91.5,3517,22,4,0.57,0.19,7.21,16.5,82.4,20,3,3.3,206100,62,758,97.9,94,85.2,71.0,2.08,85000000,real_transfermarkt_top50,Transfermarkt current market value snapshot,30,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop
Alexander Isak,Liverpool FC,ST,Right,EU,26,187,89.7,91.0,2978,21,5,0.59,0.2,7.14,17.97,89.5,1,0,0.8,196200,61,647,99.6,94,89.5,64.1,1.94,85000000,real_transfermarkt_top50,Transfermarkt current market value snapshot,31,https://www.transfermarkt.com/spieler-statistik/wertvollstespieler/marktwertetop
